"","City","State","CityState"
"641","Kansas City","KS","Kansas City, KS"
"642","Hilliard","OH","Hilliard, OH"
"643","Titusville","FL","Titusville, FL"
"644","Germantown","MD","Germantown, MD"
"645","Boynton Beach","FL","Boynton Beach, FL"
"646","Berlin","NY","Berlin, NY"
"647","Lynchburg","VA","Lynchburg, VA"
"648","Prescott","AZ","Prescott, AZ"
"649","Chino Hills","CA","Chino Hills, CA"
"650","Middletown","NY","Middletown, NY"
"651","Tuscon","AZ","Tuscon, AZ"
"652","Eugene","OR","Eugene, OR"
"653","South Brunswick","NJ","South Brunswick, NJ"
"654","San Mateo","FL","San Mateo, FL"
"655","Rock Falls","IL","Rock Falls, IL"
"656","Bend","OR","Bend, OR"
"657","South Gate","CA","South Gate, CA"
"658","French Valley","CA","French Valley, CA"
"659","Boulder","CO","Boulder, CO"
"660","Mableton","GA","Mableton, GA"
"661","Granada Hills","CA","Granada Hills, CA"
"662","Port Allen","LA","Port Allen, LA"
"663","Key West","FL","Key West, FL"
"664","Strasburg","CO","Strasburg, CO"
"665","Nashville","IN","Nashville, IN"
"666","Azusa","CA","Azusa, CA"
"667","Kyle","TX","Kyle, TX"
"668","Bois D'Arc","MO","Bois D'Arc, MO"
"669","Etowah","TN","Etowah, TN"
"670","Perth Amboy","NJ","Perth Amboy, NJ"
"671","Independence","MO","Independence, MO"
"672","Alamo Heights","TX","Alamo Heights, TX"
"673","Tukwila","WA","Tukwila, WA"
"674","Moon","PA","Moon, PA"
"675","Monroeville","PA","Monroeville, PA"
"676","Saratoga","CA","Saratoga, CA"
"677","St. Augustine","FL","St. Augustine, FL"
"678","Chillicothe","OH","Chillicothe, OH"
"679","Hollis","ME","Hollis, ME"
"680","Arlington Heights","IL","Arlington Heights, IL"
"681","Farmington","CT","Farmington, CT"
"682","Neillsville","WI","Neillsville, WI"
"683","Grand Junction","CO","Grand Junction, CO"
"684","Waipahu","HI","Waipahu, HI"
"685","Milford","DE","Milford, DE"
"686","Green Bay","WI","Green Bay, WI"
"687","Evanston","IL","Evanston, IL"
"688","Clinton","OK","Clinton, OK"
"689","Lititz","PA","Lititz, PA"
"690","Winterville","NC","Winterville, NC"
"691","Eloy","AZ","Eloy, AZ"
"692","Corpus Christi","TX","Corpus Christi, TX"
"693","Torrance","CA","Torrance, CA"
"694","Marietta","GA","Marietta, GA"
"695","Colleyville","TX","Colleyville, TX"
"696","Palatka","FL","Palatka, FL"
"697","Taft","CA","Taft, CA"
"698","Longmont","CO","Longmont, CO"
"699","Sparta","NC","Sparta, NC"
"700","Breaux Bridge","LA","Breaux Bridge, LA"
"701","Ruston","LA","Ruston, LA"
"702","Moses Lake","WA","Moses Lake, WA"
"703","Henderson","NC","Henderson, NC"
"704","Chelsea","OK","Chelsea, OK"
"705","Redford Charter Township","MI","Redford Charter Township, MI"
"706","Crestview","FL","Crestview, FL"
"707","Hondo","TX","Hondo, TX"
"708","Selah","WA","Selah, WA"
"709","Watauga","TX","Watauga, TX"
"710","Paterson","NJ","Paterson, NJ"
"711","Arvada","CO","Arvada, CO"
"712","Sierra Vista","AZ","Sierra Vista, AZ"
"713","Metairie","LA","Metairie, LA"
"714","Lawrenceville","GA","Lawrenceville, GA"
"715","Yakima","WA","Yakima, WA"
"716","Sarasota","FL","Sarasota, FL"
"717","Boiling Spring Lakes","NC","Boiling Spring Lakes, NC"
"718","Anmoore","WV","Anmoore, WV"
"719","Moriarty","NM","Moriarty, NM"
"720","Jonesboro","AR","Jonesboro, AR"
"721","Beeville","TX","Beeville, TX"
"722","Victorville","CA","Victorville, CA"
"723","Fort Pierce","FL","Fort Pierce, FL"
"724","Ludington","MI","Ludington, MI"
"725","Vienna","WV","Vienna, WV"
"726","Houghton Lake","MI","Houghton Lake, MI"
"727","Ardmore","OK","Ardmore, OK"
"728","Spanish Fork","UT","Spanish Fork, UT"
"729","Lake Elsinore","CA","Lake Elsinore, CA"
"730",NA,"AZ","NA, AZ"
"731","Fairfield","OH","Fairfield, OH"
"732","Greensburg","PA","Greensburg, PA"
"733","Interlachen","FL","Interlachen, FL"
"734","Loxley","AL","Loxley, AL"
"735","Dunlap","TN","Dunlap, TN"
"736","Dublin","CA","Dublin, CA"
"737","Hawesville","KY","Hawesville, KY"
"738","Gaffney","SC","Gaffney, SC"
"739","Lodi","CA","Lodi, CA"
"740","Del City","OK","Del City, OK"
"741","Federal Heights","CO","Federal Heights, CO"
"742","Penn Hills","PA","Penn Hills, PA"
"743","Chesterfield","SC","Chesterfield, SC"
"744","Coachella","CA","Coachella, CA"
"745","Sioux City","IA","Sioux City, IA"
"746","Passaic","NJ","Passaic, NJ"
"747","DeKalb","IL","DeKalb, IL"
"748","DeRidder","LA","DeRidder, LA"
"749","Chapmanville","WV","Chapmanville, WV"
"750","El Centro","CA","El Centro, CA"
"751","Santa Clarita","CA","Santa Clarita, CA"
"752","Kingstree","SC","Kingstree, SC"
"753","Nephi","UT","Nephi, UT"
"754","Vista","CA","Vista, CA"
"755","Hope Mills","NC","Hope Mills, NC"
"756","Spanaway","WA","Spanaway, WA"
"757","Laughlin","NV","Laughlin, NV"
"758","Delray Beach","FL","Delray Beach, FL"
"759","Kailua-Kona","HI","Kailua-Kona, HI"
"760","Salisbury","MD","Salisbury, MD"
"761","Perry","FL","Perry, FL"
"762","Liberty City","FL","Liberty City, FL"
"763","Eden Prairie","MN","Eden Prairie, MN"
"764","Brookshire","TX","Brookshire, TX"
"765","Tustin","CA","Tustin, CA"
"766","North Augusta","SC","North Augusta, SC"
"767","Yulee","FL","Yulee, FL"
"768","Fernandina Beach","FL","Fernandina Beach, FL"
"769","Nashville","TN","Nashville, TN"
"770","Spokane Valley","WA","Spokane Valley, WA"
"771","Menomonie","WI","Menomonie, WI"
"772","West Covina","CA","West Covina, CA"
"773","Centralia","WA","Centralia, WA"
"774","Euharlee","GA","Euharlee, GA"
"775","Hamilton","OH","Hamilton, OH"
"776","Auburn","NY","Auburn, NY"
"777","Moore","OK","Moore, OK"
"778","Mukilteo","WA","Mukilteo, WA"
"779","Bastrop","TX","Bastrop, TX"
"780","San Lorenzo","CA","San Lorenzo, CA"
"781","Kilgore","TX","Kilgore, TX"
"782","Browning","MT","Browning, MT"
"783","Ecorse","MI","Ecorse, MI"
"784","Clover","SC","Clover, SC"
"785","Norwalk","CT","Norwalk, CT"
"786","Shelbyville","KY","Shelbyville, KY"
"787","Danville","IL","Danville, IL"
"788","Melbourne","FL","Melbourne, FL"
"789","O'Fallon","MO","O'Fallon, MO"
"790","Antelope","CA","Antelope, CA"
"791","Fair Oaks","CA","Fair Oaks, CA"
"792","Kendall","FL","Kendall, FL"
"793","Clawson","MI","Clawson, MI"
"794","Duncan","SC","Duncan, SC"
"795","LaBelle","FL","LaBelle, FL"
"796","Bourbon","MO","Bourbon, MO"
"797","Okmulgee","OK","Okmulgee, OK"
"798","Hamilton","MT","Hamilton, MT"
"799","Norristown","PA","Norristown, PA"
"800","Alexander City","AL","Alexander City, AL"
"801","Buffalo Grove","IL","Buffalo Grove, IL"
"802","Sebring","FL","Sebring, FL"
"803","Lyerly","GA","Lyerly, GA"
"804","New Iberia","LA","New Iberia, LA"
"805","Wasilla","AK","Wasilla, AK"
"806","North Las Vegas","NV","North Las Vegas, NV"
"807","Oberlin","KS","Oberlin, KS"
"808","St. Joseph","MO","St. Joseph, MO"
"809","Rochester","NH","Rochester, NH"
"810","Chipley","FL","Chipley, FL"
"811","Highland","CA","Highland, CA"
"812","Morgantown","NC","Morgantown, NC"
"813","Ridgefield","WA","Ridgefield, WA"
"814","Pompano Beach","FL","Pompano Beach, FL"
"815","Lawton","OK","Lawton, OK"
"816","Jean","NV","Jean, NV"
"817","Lexington","OH","Lexington, OH"
"818","Cumming","GA","Cumming, GA"
"819","Poughkeepsie","NY","Poughkeepsie, NY"
"820","Parkville","MD","Parkville, MD"
"821","Pacifica","CA","Pacifica, CA"
"822","Anaheim","CA","Anaheim, CA"
"823","Big Sur","CA","Big Sur, CA"
"824","Aberdeen","MD","Aberdeen, MD"
"825","Providence","RI","Providence, RI"
"826","University Place","WA","University Place, WA"
"827","Greensboro","NC","Greensboro, NC"
"828","Salisbury","NC","Salisbury, NC"
"829","Rice","WA","Rice, WA"
"830","Middleburg","OH","Middleburg, OH"
"831","Oildale","CA","Oildale, CA"
"832","Atlantic City","NJ","Atlantic City, NJ"
"833","Glen Rose","TX","Glen Rose, TX"
"834","Sayre","OK","Sayre, OK"
"835","New Bern","NC","New Bern, NC"
"836","Lincolnton","NC","Lincolnton, NC"
"837","Covington","GA","Covington, GA"
"838","Johnson City","NY","Johnson City, NY"
"839","Tryon","NC","Tryon, NC"
"840","Richard City","TN","Richard City, TN"
"841","Brattleboro","VT","Brattleboro, VT"
"842","District Heights","MD","District Heights, MD"
"843","Oceanside","CA","Oceanside, CA"
"844","Wauconda","IL","Wauconda, IL"
"845","Fort Mill","SC","Fort Mill, SC"
"846","Clovis","CA","Clovis, CA"
"847","West Hollywood","CA","West Hollywood, CA"
"848","Woodstock","GA","Woodstock, GA"
"849","Owings Mills","MD","Owings Mills, MD"
"850","East Point","GA","East Point, GA"
"851","Verona","KY","Verona, KY"
"852","Windham","ME","Windham, ME"
"853","Santa Clara","CA","Santa Clara, CA"
"854","Hampstead","NC","Hampstead, NC"
"855","Centerville","UT","Centerville, UT"
"856","Harvey","IL","Harvey, IL"
"857","East Hartford","CT","East Hartford, CT"
"858","Corinth","MS","Corinth, MS"
"859","Hammond","LA","Hammond, LA"
"860","Fenton","MO","Fenton, MO"
"861","Nettleton","MS","Nettleton, MS"
"862","St. Charles","MO","St. Charles, MO"
"863","Iowa Falls","IA","Iowa Falls, IA"
"864","Salton City","CA","Salton City, CA"
"865","Lubbock","TX","Lubbock, TX"
"866","Wilkinsburg","PA","Wilkinsburg, PA"
"867","Sun City","CA","Sun City, CA"
"868","South Lebanon","OH","South Lebanon, OH"
"869","Cushing","TX","Cushing, TX"
"870","Lincoln","IL","Lincoln, IL"
"871","Anniston","AL","Anniston, AL"
"872","Goodyear","AZ","Goodyear, AZ"
"873","Walnut Ridge","AR","Walnut Ridge, AR"
"874","Ararat","NC","Ararat, NC"
"875","Lancaster","SC","Lancaster, SC"
"876","Meridian","MS","Meridian, MS"
"877","Natchez","MS","Natchez, MS"
"878","Merced","CA","Merced, CA"
"879","Boone County","KY","Boone County, KY"
"880","Georgetown","KY","Georgetown, KY"
"881","Athena","OR","Athena, OR"
"882","Tabor City","NC","Tabor City, NC"
"883","Brandon","MS","Brandon, MS"
"884","Salem","OR","Salem, OR"
"885","Primrose","WI","Primrose, WI"
"886","Niles","MI","Niles, MI"
"887","Orleans","MI","Orleans, MI"
"888","Center","TX","Center, TX"
"889","Jackson","MS","Jackson, MS"
"890","Hearne","TX","Hearne, TX"
"891","Olivehurst","CA","Olivehurst, CA"
"892","South Daytona","FL","South Daytona, FL"
"893","Las Vegas","NM","Las Vegas, NM"
"894","Payette","ID","Payette, ID"
"895","Dotsero","CO","Dotsero, CO"
"896","Brooksville","FL","Brooksville, FL"
"897","Hallandale Beach","FL","Hallandale Beach, FL"
"898","Birmingham","AL","Birmingham, AL"
"899","Hinton","WV","Hinton, WV"
"900","Hazard","KY","Hazard, KY"
"901","Imperial","CA","Imperial, CA"
"902","Universal City","CA","Universal City, CA"
"903","Tallahassee","FL","Tallahassee, FL"
"904","Ashford","AL","Ashford, AL"
"905","Dunelion","FL","Dunelion, FL"
"906","Wichita Falls","TX","Wichita Falls, TX"
"907","Concord","CA","Concord, CA"
"908","Salisbury","MA","Salisbury, MA"
"909","Campbellsville","KY","Campbellsville, KY"
"910","Plover","WI","Plover, WI"
"911","Macclesfield","NC","Macclesfield, NC"
"912","Masaryktown","FL","Masaryktown, FL"
"913","Forest","MS","Forest, MS"
"914","Cleveland","TX","Cleveland, TX"
"915","Greeley","CO","Greeley, CO"
"916","Hazelhurst","GA","Hazelhurst, GA"
"917","Purcellville","VA","Purcellville, VA"
"918","Neelyville","MO","Neelyville, MO"
"919","Lebec","CA","Lebec, CA"
"920","Winston Salem","NC","Winston Salem, NC"
"921","Hamersville","OH","Hamersville, OH"
"922","Holden","MO","Holden, MO"
"923","Southaven","MS","Southaven, MS"
"924","Newport Beach","CA","Newport Beach, CA"
"925","Woodland","CA","Woodland, CA"
"926","Turlock","CA","Turlock, CA"
"927","Suitland","MD","Suitland, MD"
"928","Green Valley","AZ","Green Valley, AZ"
"929","Clifton","NJ","Clifton, NJ"
"930","Cowley County","KS","Cowley County, KS"
"931","Lincoln","NE","Lincoln, NE"
"932","Raeford","NC","Raeford, NC"
"933","Independence","KS","Independence, KS"
"934","Aiken","SC","Aiken, SC"
"935","Chester","PA","Chester, PA"
"936","Piedmont","SC","Piedmont, SC"
"937","Half Moon Bay","CA","Half Moon Bay, CA"
"938","Rapid City","SD","Rapid City, SD"
"939","Marriott-Slaterville","UT","Marriott-Slaterville, UT"
"940","McPherson","KS","McPherson, KS"
"941","Lauderhill","FL","Lauderhill, FL"
"942","Butler","PA","Butler, PA"
"943","East Knoxville","TN","East Knoxville, TN"
"944","Glen Burnie","MD","Glen Burnie, MD"
"945","Gilbert","AZ","Gilbert, AZ"
"946","Moss Point","MS","Moss Point, MS"
"947","Tuscaloosa","AL","Tuscaloosa, AL"
"948","Bellevue","NE","Bellevue, NE"
"949","Chamblee","GA","Chamblee, GA"
"950","Colton","CA","Colton, CA"
"951","Ashland","OR","Ashland, OR"
"952","Cassville","MO","Cassville, MO"
"953","Willits","CA","Willits, CA"
"954","Bossier City","LA","Bossier City, LA"
"955","Milwaukie","OR","Milwaukie, OR"
"956","Kegley","WV","Kegley, WV"
"957","Gulfport","MS","Gulfport, MS"
"958","Fallon","NV","Fallon, NV"
"959","East Peoria","IL","East Peoria, IL"
"960","Altamonte Springs","FL","Altamonte Springs, FL"
"961","Delaware","OK","Delaware, OK"
"962","Port Orchard","WA","Port Orchard, WA"
"963","Little River","SC","Little River, SC"
"964","Hamilton","TX","Hamilton, TX"
"965","Schuyler","NE","Schuyler, NE"
"966","Clayton","GA","Clayton, GA"
"967","Madisonville","KY","Madisonville, KY"
"968","Sterling Heights","MI","Sterling Heights, MI"
"969","Dickinson","ND","Dickinson, ND"
"970","Beaumont","TX","Beaumont, TX"
"971","Magnolia","DE","Magnolia, DE"
"972","Apple Valley","CA","Apple Valley, CA"
"973","Sweetwater","TX","Sweetwater, TX"
"974","Chelsea","MA","Chelsea, MA"
"975","Bay Shore","NY","Bay Shore, NY"
"976","Midland","TX","Midland, TX"
"977","Kennewick","WA","Kennewick, WA"
"978","Damascus","VA","Damascus, VA"
"979","Elizabeth","NJ","Elizabeth, NJ"
"980","Zephyrhills","FL","Zephyrhills, FL"
"981","Ankeny","IA","Ankeny, IA"
"982","Norman","OK","Norman, OK"
"983","Pine Lawn","MO","Pine Lawn, MO"
"984","Racoine","WI","Racoine, WI"
"985","Molalla","OR","Molalla, OR"
"986","Sandpoint","ID","Sandpoint, ID"
"987","Sugar Land","TX","Sugar Land, TX"
"988","Estero","FL","Estero, FL"
"989","Pasco","WA","Pasco, WA"
"990","Granite City","IL","Granite City, IL"
"991","Cypress","TX","Cypress, TX"
"992","Bothell","WA","Bothell, WA"
"993","Wapato","WA","Wapato, WA"
"994","Princeton","KY","Princeton, KY"
"995","Vidor","TX","Vidor, TX"
"996","Pawleys Island","SC","Pawleys Island, SC"
"997","Lady Lake","FL","Lady Lake, FL"
"998","Hendersonville","NC","Hendersonville, NC"
"999","Basin","WY","Basin, WY"
"1000","Fountain Hills","AZ","Fountain Hills, AZ"
"1001","Munising Township","MI","Munising Township, MI"
"1002","Germantown","TN","Germantown, TN"
"1003","Flint Township","MI","Flint Township, MI"
"1004","Belton","TX","Belton, TX"
"1005","Reedsport","OR","Reedsport, OR"
"1006","San Leandro","CA","San Leandro, CA"
"1007","Leavenworth","KS","Leavenworth, KS"
"1008","Kent","WA","Kent, WA"
"1009","Spanish Fort","AL","Spanish Fort, AL"
"1010","Silver Spring","MD","Silver Spring, MD"
"1011","St. George","SC","St. George, SC"
"1012","La Joya","TX","La Joya, TX"
"1013","Bell","FL","Bell, FL"
"1014","Adairsville","GA","Adairsville, GA"
"1015","Belle Isle","FL","Belle Isle, FL"
"1016","Cross City","FL","Cross City, FL"
"1017","Hampton","GA","Hampton, GA"
"1018","Salt Lake","UT","Salt Lake, UT"
"1019","Van Nuys","CA","Van Nuys, CA"
"1020","Park Forest","IL","Park Forest, IL"
"1021","Huntington","WV","Huntington, WV"
"1022","Bloomburg","TX","Bloomburg, TX"
"1023","Florence","SC","Florence, SC"
"1024","Hedwig","TX","Hedwig, TX"
"1025","Pana","IL","Pana, IL"
"1026","Ethete","WY","Ethete, WY"
"1027","Bedford","VA","Bedford, VA"
"1028","Pico Rivera","CA","Pico Rivera, CA"
"1029","Berlin","NJ","Berlin, NJ"
"1030","Pinetop","AZ","Pinetop, AZ"
"1031","Lagrange","ME","Lagrange, ME"
"1032","Fort Madison","IA","Fort Madison, IA"
"1033","Bristol","VA","Bristol, VA"
"1034","Miami Springs","FL","Miami Springs, FL"
"1035","Beavercreek","OH","Beavercreek, OH"
"1036","Pearl City","HI","Pearl City, HI"
"1037","Folsom","CA","Folsom, CA"
"1038","Tamaqua","PA","Tamaqua, PA"
"1039","Dolton","IL","Dolton, IL"
"1040","Walnut Park","CA","Walnut Park, CA"
"1041","Seven Valleys","PA","Seven Valleys, PA"
"1042","Fort Smith","AR","Fort Smith, AR"
"1043","Ferguson","MO","Ferguson, MO"
"1044","Burien","WA","Burien, WA"
"1045","Palenville","NY","Palenville, NY"
"1046","Dekalb","TX","Dekalb, TX"
"1047","Canton","MS","Canton, MS"
"1048","Choctaw","MS","Choctaw, MS"
"1049","Fairfield Township","MI","Fairfield Township, MI"
"1050","Davenport","IA","Davenport, IA"
"1051","Muscle Shoals","AL","Muscle Shoals, AL"
"1052","Bunnell","FL","Bunnell, FL"
"1053","Newton","KS","Newton, KS"
"1054","Temple Hills","MD","Temple Hills, MD"
"1055","Mexico","ME","Mexico, ME"
"1056","Bellflower","CA","Bellflower, CA"
"1057","Harriman","TN","Harriman, TN"
"1058","Haysville","KS","Haysville, KS"
"1059","Ellicott City","MD","Ellicott City, MD"
"1060","Perry Hall","MD","Perry Hall, MD"
"1061","Hapeville","GA","Hapeville, GA"
"1062","Ottawa","KS","Ottawa, KS"
"1063","Aransas Pass","TX","Aransas Pass, TX"
"1064","Dingess","WV","Dingess, WV"
"1065","Medford","OR","Medford, OR"
"1066","Wallback","WV","Wallback, WV"
"1067","Live Oak","CA","Live Oak, CA"
"1068","Bloomfield","NM","Bloomfield, NM"
"1069","Ramsey","MN","Ramsey, MN"
"1070","New Braunfels","TX","New Braunfels, TX"
"1071","Pendleton","OR","Pendleton, OR"
"1072","Littlefield","AZ","Littlefield, AZ"
"1073","Hoisington","KS","Hoisington, KS"
"1074","Hattiesburg","MS","Hattiesburg, MS"
"1075","Laredo","TX","Laredo, TX"
"1076","Claude","TX","Claude, TX"
"1077","Henryetta","OK","Henryetta, OK"
"1078","Dayton","TN","Dayton, TN"
"1079","St. Johns","FL","St. Johns, FL"
"1080","Wilton Manors","FL","Wilton Manors, FL"
"1081","Sinton","TX","Sinton, TX"
"1082","Pineville","LA","Pineville, LA"
"1083","Ogden","UT","Ogden, UT"
"1084","Washington City","UT","Washington City, UT"
"1085","Channelview","TX","Channelview, TX"
"1086","Abilene","TX","Abilene, TX"
"1087","Saratoga Springs","UT","Saratoga Springs, UT"
"1088","Pigeon Forge","TN","Pigeon Forge, TN"
"1089","Gretna","LA","Gretna, LA"
"1090","Richmond","CA","Richmond, CA"
"1091","Lacey","WA","Lacey, WA"
"1092","Rutherford","NJ","Rutherford, NJ"
"1093","Pelahatchie","MS","Pelahatchie, MS"
"1094","Eureka","CA","Eureka, CA"
"1095","Jennings","MO","Jennings, MO"
"1096","Washburn","TN","Washburn, TN"
"1097","Pine","AZ","Pine, AZ"
"1098","Hermantown","MN","Hermantown, MN"
"1099","Homosassa","FL","Homosassa, FL"
"1100","Daytona Beach","FL","Daytona Beach, FL"
"1101","Ballston Spa","NY","Ballston Spa, NY"
"1102","Grants Pass","OR","Grants Pass, OR"
"1103","Mansfield","OH","Mansfield, OH"
"1104","Goose Creek","SC","Goose Creek, SC"
"1105","Houma","LA","Houma, LA"
"1106","Dublin","GA","Dublin, GA"
"1107","Girard","OH","Girard, OH"
"1108","Blossom","TX","Blossom, TX"
"1109","Homestead","FL","Homestead, FL"
"1110","Chester","ME","Chester, ME"
"1111","Three Way","TN","Three Way, TN"
"1112","Baytown","TX","Baytown, TX"
"1113","Mitchellville","IA","Mitchellville, IA"
"1114","Athens","GA","Athens, GA"
"1115","Sunrise","FL","Sunrise, FL"
"1116","Conshohocken","PA","Conshohocken, PA"
"1117","Casper","WY","Casper, WY"
"1118","Friendswood","TX","Friendswood, TX"
"1119","Decatur","GA","Decatur, GA"
"1120","New London","CT","New London, CT"
"1121","Fort Collins","CO","Fort Collins, CO"
"1122","Bergen","NJ","Bergen, NJ"
"1123","Ludlow","ME","Ludlow, ME"
"1124","Rocky Ford","CO","Rocky Ford, CO"
"1125","Dalhart","TX","Dalhart, TX"
"1126","Spiro","OK","Spiro, OK"
"1127","Marion","TX","Marion, TX"
"1128","Cantril","IA","Cantril, IA"
"1129","Leslie","AR","Leslie, AR"
"1130","Warrior","AL","Warrior, AL"
"1131","Dewey","AZ","Dewey, AZ"
"1132","South Euclid","OH","South Euclid, OH"
"1133","Ocala","FL","Ocala, FL"
"1134","Hopewell","VA","Hopewell, VA"
"1135","Roy","UT","Roy, UT"
"1136","Brownsville","TX","Brownsville, TX"
"1137","Dartmouth","MA","Dartmouth, MA"
"1138","Plaquemine","LA","Plaquemine, LA"
"1139","Edgewater","FL","Edgewater, FL"
"1140","Easton","PA","Easton, PA"
"1141","Maywood","IL","Maywood, IL"
"1142","Magna","UT","Magna, UT"
"1143","Russellville","AR","Russellville, AR"
"1144","Statesville","NC","Statesville, NC"
"1145","Gretna","FL","Gretna, FL"
"1146","Natchitoches","LA","Natchitoches, LA"
"1147","El Dorado Springs","MO","El Dorado Springs, MO"
"1148","Maplewood","MN","Maplewood, MN"
"1149","Highland Park","IL","Highland Park, IL"
"1150","Blountsville","AL","Blountsville, AL"
"1151","North Miami Beach","FL","North Miami Beach, FL"
"1152","Kitts Hall","OH","Kitts Hall, OH"
"1153","Jackson","TN","Jackson, TN"
"1154","Jerome","ID","Jerome, ID"
"1155","Palmdale","CA","Palmdale, CA"
"1156","Mitchell","SD","Mitchell, SD"
"1157","Westland","MI","Westland, MI"
"1158","Ann Arbor","MI","Ann Arbor, MI"
"1159","Lucerne","CA","Lucerne, CA"
"1160","Plant City","FL","Plant City, FL"
"1161","Jacksonville","AL","Jacksonville, AL"
"1162","Menlo Park","CA","Menlo Park, CA"
"1163","Boyceville","WI","Boyceville, WI"
"1164","Chippewa Falls","WI","Chippewa Falls, WI"
"1165","Chula Vista","CA","Chula Vista, CA"
"1166","Claymont","DE","Claymont, DE"
"1167","McMinnville","OR","McMinnville, OR"
"1168","Inverness","FL","Inverness, FL"
"1169","Deming","WA","Deming, WA"
"1170","East Los Angeles","CA","East Los Angeles, CA"
"1171","Phillipsburg","NJ","Phillipsburg, NJ"
"1172","Dunedin","FL","Dunedin, FL"
"1173","Clarkton","MO","Clarkton, MO"
"1174","Beaverton","OR","Beaverton, OR"
"1175","Shrevport","LA","Shrevport, LA"
"1176","Eustis","FL","Eustis, FL"
"1177","Seaside","CA","Seaside, CA"
"1178","Sonora","CA","Sonora, CA"
"1179","South Jordan","UT","South Jordan, UT"
"1180","Lake Havasu","AZ","Lake Havasu, AZ"
"1181","Winchester","CA","Winchester, CA"
"1182","Cleveland","TN","Cleveland, TN"
"1183","Mesquite","TX","Mesquite, TX"
"1184","Lewisville","TX","Lewisville, TX"
"1185","Versailles","MO","Versailles, MO"
"1186","Point Arena","CA","Point Arena, CA"
"1187","Westchase","FL","Westchase, FL"
"1188","Dearborn","MI","Dearborn, MI"
"1189","Aztec","NM","Aztec, NM"
"1190","Elko","NV","Elko, NV"
"1191","Crittenden","KY","Crittenden, KY"
"1192","Red Springs","NC","Red Springs, NC"
"1193","South Berwick","ME","South Berwick, ME"
"1194","Grant","OK","Grant, OK"
"1195","West Monroe","LA","West Monroe, LA"
"1196","Camden","SC","Camden, SC"
"1197","Trent Woods","NC","Trent Woods, NC"
"1198","Lansing Township","MI","Lansing Township, MI"
"1199","Lake Station","IN","Lake Station, IN"
"1200","Wildomar","CA","Wildomar, CA"
"1201","Sanford","NC","Sanford, NC"
"1202","Palm Beach Gardens","FL","Palm Beach Gardens, FL"
"1203","Canon City","CO","Canon City, CO"
"1204","Poplar Bluff","MO","Poplar Bluff, MO"
"1205","Sevierville","TN","Sevierville, TN"
"1206","Mount Vernon","OH","Mount Vernon, OH"
"1207","Ridgeland","MS","Ridgeland, MS"
"1208",NA,"FL","NA, FL"
"1209","Texarkana","TX","Texarkana, TX"
"1210","Tacoma","WA","Tacoma, WA"
"1211","Marshalltown","IA","Marshalltown, IA"
"1212","Shoreview","MN","Shoreview, MN"
"1213","Costa Mesa","CA","Costa Mesa, CA"
"1214","Paragon","IN","Paragon, IN"
"1215","Willow Creek","CA","Willow Creek, CA"
"1216","Holiday","FL","Holiday, FL"
"1217","Auburn","CA","Auburn, CA"
"1218","Dover","DE","Dover, DE"
"1219","Deer Lodge","MT","Deer Lodge, MT"
"1220","Independence","KY","Independence, KY"
"1221","Elbow Lake","MN","Elbow Lake, MN"
"1222","Berkeley","MO","Berkeley, MO"
"1223","Jasper","GA","Jasper, GA"
"1224","Texas city","TX","Texas city, TX"
"1225","Cocoa","FL","Cocoa, FL"
"1226","Bedford","OH","Bedford, OH"
"1227","Holly Pond","AL","Holly Pond, AL"
"1228","Stansbury Park","UT","Stansbury Park, UT"
"1229","Paradise","CA","Paradise, CA"
"1230","Safford","AL","Safford, AL"
"1231","Bridgeton","NJ","Bridgeton, NJ"
"1232","Dothan","AL","Dothan, AL"
"1233","Drexel Hill","PA","Drexel Hill, PA"
"1234","Olive Hill","KY","Olive Hill, KY"
"1235","Missoula","MT","Missoula, MT"
"1236","Key Largo","FL","Key Largo, FL"
"1237","Shelton","WA","Shelton, WA"
"1238","Aloha","OR","Aloha, OR"
"1239","Evans","CO","Evans, CO"
"1240","Guthrie","OK","Guthrie, OK"
"1241","Chandler","AZ","Chandler, AZ"
"1242","Assaria","KS","Assaria, KS"
"1243","Burlington","IA","Burlington, IA"
"1244","Knoxville","PA","Knoxville, PA"
"1245","Rosemont","IL","Rosemont, IL"
"1246","Norfolk","NE","Norfolk, NE"
"1247","Huntley","MT","Huntley, MT"
"1248","Strong","AR","Strong, AR"
"1249","Syracuse","UT","Syracuse, UT"
"1250","England","AR","England, AR"
"1251","Arcola","IL","Arcola, IL"
"1252","Jourdanton","TX","Jourdanton, TX"
"1253","Robertsville","MO","Robertsville, MO"
"1254","Old Bridge","NJ","Old Bridge, NJ"
"1255","Lake Jackson","TX","Lake Jackson, TX"
"1256","Draper","UT","Draper, UT"
"1257","Chesapeake","VA","Chesapeake, VA"
"1258","Bloomington","MN","Bloomington, MN"
"1259","Ville Platte","LA","Ville Platte, LA"
"1260","Muskogee","OK","Muskogee, OK"
"1261","Maricopa","AZ","Maricopa, AZ"
"1262","Gunlock","KY","Gunlock, KY"
"1263","Weymouth","MA","Weymouth, MA"
"1264","Roma","TX","Roma, TX"
"1265","Derry","NH","Derry, NH"
"1266","Robinsonville","MS","Robinsonville, MS"
"1267","Sierra Blanca","TX","Sierra Blanca, TX"
"1268","Levelland","TX","Levelland, TX"
"1269","Rexburg","ID","Rexburg, ID"
